# FFXIV 1.23b (2012.09.19.0001) -- USER_DEFINED symbols exported from Ghidra
# 993 symbols we authored (renames), extracted from the Ghidra XML export.
# Format: <address>	<name>. Re-import via the script in ghidra_symbol_map.md.
# This is OUR annotation work only -- no proprietary bytes/disassembly.
004b3c50	NetworkModule_topLevelTick
007414f0	WidgetBaseClass_registerLua_setUICommandTemplateCondition
00741640	WidgetBaseClass_registerLua_setProperty
00741790	WidgetBaseClass_registerLua_addItem
007418e0	DesktopWidget_registerLua_setUserMacroData
00741a30	global_registerLua_getStaticActor
00741b80	global_registerLua_isExistStaticActor
00742760	ActorBaseClass_registerLua_setLoopInterval
007428b0	NpcBaseClass_registerLua_setReactionTriggerBox
00742e50	DesktopWidget_registerLua_setUserConfig
00743550	WidgetBaseClass_registerLua_sendStoryboardCommand
007436a0	WidgetBaseClass_registerLua_getListProperty
00743c30	ItemBaseClass_registerLua_bindSpreadSheetData
00743d80	PlayerBase_registerLua_chat
00743ed0	DesktopWidget_registerLua_appendMessagePool
00744020	DesktopWidget_registerLua_appendLogPool
00744460	WidgetBaseClass_registerLua_setListProperty
00744990	WidgetBaseClass_registerLua_getProperty
00745230	CharaBaseClass_registerLua_setNameplate
00745ff0	WidgetBaseClass_registerLua_setTextProperty
00746140	WidgetBaseClass_registerLua_setListTextProperty
00746510	NpcBaseClass_registerLua_releaseItemSpreadSheetContainer
00746e70	SpreadSheet_registerLua_setFilename
00746fc0	SpreadSheet_registerLua_loadKeyTemporarily
00747110	SpreadSheet_registerLua_loadKeySemipermanently
00747260	SpreadSheet_registerLua_loadAllKeyPermanently
007473b0	SpreadSheet_registerLua_loadKeyAsync
00747600	SpreadSheet_registerLua_loadMultiKeyAsync
00747990	SpreadSheet_registerLua_unloadKey
007497a0	ActorBaseClass_registerLua_getCurrentAreaMaster
007498f0	ActorBaseClass_registerLua_getStaticActorID
00749a40	AreaMaster_registerLua_getRegion
00749b90	AreaMaster_registerLua_getZoneName
00749ce0	AreaMaster_registerLua_canRideChocobo
00749e30	AreaMaster_registerLua_isWarpRideChocobo
00749f80	AreaMaster_registerLua_canStealth
0074a0d0	AreaMaster_registerLua_isInn
0074a220	AreaMaster_registerLua_countHamletSupplyRanking
0074a370	AreaMaster_registerLua_getHamletSupplyRanking
0074a4c0	CharaBaseClass_registerLua_getPosition
0074a610	CharaBaseClass_registerLua_getDirection
0074a760	CharaBaseClass_registerLua_getOrientation
0074a8b0	CharaBaseClass_registerLua_getGear
0074aa00	CharaBaseClass_registerLua_getActorMainStat
0074ab50	CharaBaseClass_registerLua_getSubStatWaste
0074aca0	CharaBaseClass_registerLua_getSubStatGuard
0074adf0	CharaBaseClass_registerLua_getSubStatChant
0074af40	CharaBaseClass_registerLua_getSubStatObject
0074b090	CharaBaseClass_registerLua_getSubStatBreakage
0074b1e0	CharaBaseClass_registerLua_getSubStatMotionPack
0074b330	CharaBaseClass_registerLua_getSubStatStatus
0074b480	CharaBaseClass_registerLua_getActorExtraStat_internal
0074b5d0	CharaBaseClass_registerLua_getGrandOnExtraStat
0074b720	CharaBaseClass_registerLua_getNetStatUser
0074b870	CharaBaseClass_registerLua_getNetStatSystem
0074b9c0	CharaBaseClass_registerLua_getSystemFlag
0074bb10	CharaBaseClass_registerLua_isAccessibleInServer
0074bc60	CharaBaseClass_registerLua_getLocalizedDisplayName
0074bdb0	CharaBaseClass_registerLua_getLocalizedDisplayNameForChat
0074bf00	CharaBaseClass_registerLua_getDisplayName
0074c050	CharaBaseClass_registerLua_isNameplateVisible
0074c1a0	CharaBaseClass_registerLua_getFloatingOffset
0074c2f0	CharaBaseClass_registerLua_isActorMainStatMode
0074c440	CharaBaseClass_registerLua_getLocation
0074c590	CharaBaseClass_registerLua_getLookAtCharacter
0074c6e0	CharaBaseClass_registerLua_containsDamageAttribute_internal
0074c830	CharaBaseClass_registerLua_encodeBonusPoint
0074c980	CharaBaseClass_registerLua_decodeBonusPoint
0074cad0	GroupBaseClass_registerLua_getMember
0074cc20	GroupBaseClass_registerLua_countMember
0074cd70	GroupBaseClass_registerLua_getKind
0074cec0	GroupBaseClass_registerLua_isExistInClientMember
0074d010	GroupBaseClass_registerLua_isExistInWorldMember
0074d160	GroupBaseClass_registerLua_isMember
0074d2b0	GroupBaseClass_registerLua_getMemberLocation
0074d400	GroupBaseClass_registerLua_getMemberLocalizedDisplayName
0074d550	GroupBaseClass_registerLua_getLocalizedDisplayName_internal
0074d6a0	GroupBaseClass_registerLua_getMemberDisplayName
0074d7f0	GroupBaseClass_registerLua_getDisplayName
0074d940	GroupBaseClass_registerLua_getProperty
0074da90	ItemBaseClass_registerLua_getCatalogID
0074dbe0	ItemBaseClass_registerLua_getMaxStack
0074dd30	ItemBaseClass_registerLua_isStackable
0074de80	ItemBaseClass_registerLua_countStack
0074dfd0	ItemBaseClass_registerLua_isRare
0074e120	ItemBaseClass_registerLua_getKind_internal
0074e270	ItemBaseClass_registerLua_getPackage
0074e3c0	ItemBaseClass_registerLua_getOwner
0074e510	ItemBaseClass_registerLua_getNameIndex
0074e660	ItemBaseClass_registerLua_isLocking
0074e7b0	ItemBaseClass_registerLua_getLockingInfo
0074e900	ItemBaseClass_registerLua_isDealing
0074ea50	ItemBaseClass_registerLua_isAttached
0074eba0	ItemBaseClass_registerLua_getDealingInfo
0074ecf0	ItemBaseClass_registerLua_getDealingAttached
0074ee40	ItemBaseClass_registerLua_isTrading
0074ef90	ItemBaseClass_registerLua_isEquipping
0074f0e0	ItemBaseClass_registerLua_getEquippingSlot
0074f230	PlayerBase_registerLua_getGMRank
0074f380	PlayerBase_registerLua_getBelongGrandCompany
0074f4d0	PlayerBase_registerLua_getGrandCompanyRank
0074f620	PlayerBase_registerLua_getAchievementTitle
0074f810	Sequence_registerLua_play
0074f960	Debug_registerLua_getLocalizedDisplayName_internal
0074fab0	Debug_registerLua_getEventPriority_internal
0074fc00	Debug_registerLua_getCharacterLocation_internal
0074fd50	Debug_registerLua_getPlayingCutSceneActor_internal
0074fea0	Debug_registerLua_getSpreadSheetAllAttribute_internal
0074fff0	Debug_registerLua_isSpreadSheetExistAttribute_internal
00750140	Debug_registerLua_getItem_internal
00750290	Debug_registerLua_getAllItem
007503e0	NpcBaseClass_registerLua_isTalkable
00750530	NpcBaseClass_registerLua_isEmotable
00750680	NpcBaseClass_registerLua_isPushable
007507d0	NpcBaseClass_registerLua_isMapObj
00750920	NpcBaseClass_registerLua_isPushing
00750a70	NpcBaseClass_registerLua_isEnmity
00750bc0	SpreadSheet_registerLua_isExistKey
00750d10	SpreadSheet_registerLua_getAllKey
00750e60	WidgetBaseClass_registerLua_getParentWidget
00750fb0	WidgetBaseClass_registerLua_countChildWidgets
00751100	WidgetBaseClass_registerLua_getChildWidget
00751250	DesktopWidget_registerLua_getCurrentTargetCursor
007513a0	DesktopWidget_registerLua_getTargetCharacter
007514f0	DesktopWidget_registerLua_getCharacterByDisplayNameForTextCommand
00751640	DesktopWidget_registerLua_getKeyboardFocusedWidget
00751790	DesktopWidget_registerLua_setKeyboardFocusedWidget
007518e0	DesktopWidget_registerLua_isTargetCursorControlEnabled
00751a30	DesktopWidget_registerLua_getUserConfig
00751b80	DesktopWidget_registerLua_getUserMacroTitle
00751cd0	DesktopWidget_registerLua_getUserMacroIcon
00751e20	DesktopWidget_registerLua_getUserMacroData
00751f70	DesktopWidget_registerLua_parseTextCommand
007520c0	DesktopWidget_registerLua_getLastAttacker
00752210	DesktopWidget_registerLua_getWidgetContainerSize
00752360	DesktopWidget_registerLua_isExistWidgetInWidgetContainer
007524b0	DesktopWidget_registerLua_isCreatingWidgetInWidgetContainer
00752600	DesktopWidget_registerLua_getWidgetFromWidgetContainer
00752750	WorldMaster_registerLua_getMyPlayer
007528a0	WorldMaster_registerLua_getServerTime
007529f0	WorldMaster_registerLua_getPendingCutSceneActor
00752b40	WorldMaster_registerLua_getHydaelynHour
00752c90	WorldMaster_registerLua_getHydaelynDay
00752de0	WorldMaster_registerLua_getHydaelynTime
00752f30	WorldMaster_registerLua_getHydaelynMoon
00753080	WorldMaster_registerLua_isKeyboardOnlyTutorial
007531d0	WorldMaster_registerLua_getSpecialEventWork
00753320	global_registerLua_canCreateActorByName
00753470	global_registerLua_isInstanceOf
007535c0	global_registerLua_getQuestActorForCutSceneReplay
00753710	global_registerLua_normalizeDisplayName
00753860	global_registerLua_replaceMacroCodeString
00753a40	AreaBaseClass_registerLua_getAreaType_internal
00753c30	ActorBaseClass_registerAllLuaBindings
00753cf0	AreaMaster_registerAllLuaBindings
00753dd0	ItemBaseClass_registerAllLuaBindings
00753f90	PlayerBase_registerAllLuaBindings
007547d0	Sequence_registerAllLuaBindings
00754850	NpcBaseClass_registerAllLuaBindings
00754a60	WidgetBaseClass_registerAllLuaBindings
00754c70	WorldMaster_registerAllLuaBindings
00754e70	AreaBaseClass_registerAllLuaBindings
00754e90	CharaBaseClass_registerLua_getSubStatMode
00754fe0	CharaBaseClass_registerLua_setActorExtraStat_internal
00755130	CharaBaseClass_registerLua_setDisplayName
00755280	CharaBaseClass_registerLua_getGroup
007553d0	CharaBaseClass_registerLua_getExtendedTemporaryGroup
00755520	CharaBaseClass_registerLua_getAllGroup
00755670	CharaBaseClass_registerLua_getExtendedTemporaryAllGroup
007557c0	CharaBaseClass_registerLua_getGroupByDisplayName
00755910	CharaBaseClass_registerLua_getExtendedTemporaryGroupByDisplayName
00755a60	CharaBaseClass_registerLua_getItem
00755bb0	CharaBaseClass_registerLua_getExtendedTemporaryItem
00755d00	CharaBaseClass_registerLua_getEquippingItem
00755e50	CharaBaseClass_registerLua_getExtendedTemporaryEquippingItem
00755fa0	CharaBaseClass_registerLua_getItemPackageCapacity
007560f0	CharaBaseClass_registerLua_getItemPackageFreeSpace
00756240	CharaBaseClass_registerLua_hasItemPackage
00756390	CharaBaseClass_registerLua_isLockingItem
007564e0	CharaBaseClass_registerLua_isItemDealing
00756630	CharaBaseClass_registerLua_getTradingItem
00756780	CharaBaseClass_registerLua_getExtendedTemporaryTradingItem
007568d0	CharaBaseClass_registerLua_createVirtualItem
00756a20	CharaBaseClass_registerLua_createExtendedTemporaryVirtualItem
00756b70	GroupBaseClass_registerLua_getOccupancyGroup
00756cc0	GroupBaseClass_registerLua_getExtendedTemporaryOccupancyGroup
00756e10	Debug_registerLua_commandDebug
00756f60	DesktopWidget_registerLua_createWidgetInWidgetContainer
007570b0	DirectorBaseClass_registerLua_getGroupByDisplayName
00757200	DirectorBaseClass_registerLua_getExtendedTemporaryGroupByDisplayName
00757350	global_registerLua_createActor
007574a0	CharaBaseClass_registerAllLuaBindings
00757b70	GroupBaseClass_registerAllLuaBindings
00757ce0	Debug_registerAllLuaBindings
00757ea0	DesktopWidget_registerAllLuaBindings
00758260	DirectorBaseClass_registerAllLuaBindings
007582e0	global_registerAllLuaBindings
00758520	SpreadSheet_registerLua_getData
00758670	SpreadSheet_registerAllLuaBindings
00759940	ZoneIn_handler_opcode_11_CutScene_onShowWidgetClip
007599e0	ZoneIn_handler_opcode_12_CutScene_onHideWidgetClip
00759a50	ZoneIn_handler_opcode_15_NOP
00759a60	ZoneIn_handler_opcode_16_Debug_scriptExec
00759ad0	ZoneIn_handler_opcode_17_onPreCutSceneCancel
00759b40	ZoneIn_handler_opcode_18_onPostCutSceneCancel
00759bb0	ZoneIn_handler_opcode_20_DesktopWidget_onPreWarp
00759c20	ZoneIn_handler_opcode_21_DesktopWidget_onPostWarp
00759c90	ZoneIn_handler_vtable_dispatch_slot21
00759cb0	ZoneIn_handler_vtable_dispatch_slot22
00759cd0	ZoneIn_handler_vtable_dispatch_slot23
00759cf0	ZoneIn_handler_vtable_dispatch_slot24
00759d10	ZoneIn_handler_vtable_dispatch_slot25
00759d20	ZoneIn_handler_opcode_27_SetEventStatusReceiver
00759de0	ZoneIn_handler_opcode_28_NOP
00759df0	ZoneIn_handler_opcode_29_NOP
00759e00	ZoneIn_handler_opcode_30_NOP
00759e10	ZoneIn_handler_opcode_31_NOP
00759e20	ZoneIn_handler_opcode_32_NOP
00759e30	ZoneIn_handler_opcode_33_NOP
00759e40	ZoneIn_handler_opcode_34_NOP
00759e50	ZoneIn_handler_dataPacket_calls_onReceiveDataPacket
00759ed0	ZoneIn_handler_opcode_39_internal_map_insert
00759f50	ZoneIn_handler_opcode_40_timed_or_immediate_exec
0075a060	ZoneIn_handler_opcode_43_CharaBase_onChangeSystemFlag
0075a0e0	ZoneIn_handler_opcode_44_MyPlayer_onReceiveLimitAddicted
0075a160	ZoneIn_handler_opcode_45_HateStatusReceiver
0075a200	ZoneIn_handler_opcode_46_ChocoboReceiver
0075a280	ZoneIn_handler_opcode_47_ChocoboGradeReceiver
0075a300	ZoneIn_handler_opcode_48_GoobbueReceiver
0075a380	ZoneIn_handler_opcode_49_VehicleGradeReceiver
0075a400	ZoneIn_handler_opcode_50_GrandCompanyReceiver
0075a490	ZoneIn_handler_opcode_51_NOP
0075a4a0	ZoneIn_handler_opcode_52_NOP
0075a4b0	ZoneIn_handler_opcode_53_AchievementPointReceiver
0075a530	ZoneIn_handler_opcode_54_AchievementTitleReceiver
0075a5b0	ZoneIn_handler_opcode_55_AchievementIdReceiver
0075a630	ZoneIn_handler_opcode_56_AchievementAchievedCountReceiver
0075a6b0	ZoneIn_handler_opcode_58_JobChangeReceiver
0075a730	ZoneIn_handler_opcode_59_EntrustItemReceiver
0075b300	System_broadcastSubsystem_preCancelHooks
0075b330	System_broadcastSubsystem_postCancelHooks
0075c580	MsgDispatch_LookupAndEnqueue
0075ccf0	ChatParser_entry
0075d120	PerFrameSubsystem_slot1_0x110_PLAYER_MODE_TICKER_3bindings
0075d750	ZoneIn_handler_opcode_4_DesktopWidget_onTargetChanged
0075d780	ZoneIn_handler_opcode_5_DesktopWidget_onTargetDecided
0075d7b0	ZoneIn_handler_opcode_6_GetCurrentTarget_query
0075d830	ZoneIn_handler_opcode_7_CutScene_onInitializationClip_Preview
0075d860	ZoneIn_handler_opcode_8_CutScene_onInitializationClip
0075d890	ZoneIn_handler_opcode_9_CutScene_onShowUIClip
0075d8d0	ZoneIn_handler_opcode_10_CutScene_onHideUIClip
0075d900	ZoneIn_handler_opcode_13_CutScene_onOpenUIClip
0075d950	ZoneIn_handler_opcode_14_CutScene_setActiveAndFinalize
0075e1c0	ZoneOut_send_large_simple
0075e230	ZoneOut_send_large_checksummed_v3
0075e3a0	ZoneOut_send_large_checksummed_v1
0075e510	ZoneOut_send_large_checksummed_v2
0075e670	ZoneOut_send_opcode_0x12e_104B
0075e770	WorkSync_buildAndSendPacket_opcode_0x12f
0075e860	ZoneOut_send_opcode_0x130_32B_variantA
0075e8d0	ZoneOut_send_opcode_0x130_32B_variantB
0075e950	ZoneOut_send_opcode_0x133_56B
0075ea50	ZoneOut_send_opcode_0x131_24B_byte
0075eac0	ZoneOut_send_opcode_0x132_24B_byteUshort
0075eba0	ZoneOut_send_opcode_0x134_40B_withNonce
0075ecd0	ZoneOut_send_opcode_0x135_24B_dword
00764150	CharaList_ForEach
00764fd0	PerFrameSubsystem_slot1_0x114_WIDGET_CONTAINER_CHILD_NOTIFIER
00765340	PerFrameSubsystem_slot12_DEAD_SESSION_CLEANUP_TICK
00766f00	PerFrameSubsystem_slot2_widgetLifecyclePump_stateMachine
00767c00	WorkSync_serializePayloadAndSend
00767fc0	WorkSync_dispatchOrEnqueue
00768e40	StatusEffectList_construct_16slots_6Bperentry
00768ef0	ExtendedStatusList_construct_32slots_6B_hardcoded
0076a9c0	PerFrameSubsystem_slot5_spreadsheetCSVPreloader_4categories
0076b3d0	CommandUpdater_allocAndEnqueueRecord
0076b760	ActionResult_parseSingleRecord_112B_complex
0076b950	ActorMessageQueue_lookupOrCreate_perActorId_WorkPathTree
0076c0d0	ZoneIn_handler_chat_say_substitution_entry35
0076c220	ZoneIn_handler_chat_variant_C_tell
0076c3b0	ZoneIn_handler_chat_simple_entry37
0076c690	ZoneIn_handler_chat_variant_D
0076dab0	PerFrameSubsystem_slot11_compound_widget_tick_2subdispatchers
0076e270	ZoneOut_sendScriptError_opcode_0x12d
0076f040	TimeoutMonitor_perEntry_900frameThreshold_triggerAction
0076f6f0	PerFrameSubsystem_slot3_widgetAnimationStateTick
007700b0	PerFrameSubsystem_slot4_widgetLoadManager_msg0xde
00770c00	PerFrameSubsystem_slot10_timeoutMonitor_900frames_15sec
007713e0	ActionResultBatch_construct_multiRecord_countAt_0x380_byte
007715f0	LargeActionBatch_construct_64records_112B_hardcoded
00771f50	CommandUpdater_send_toCharaBase
00772050	CommandUpdater_send_toCharaBase_WMSelf
007721b0	CommandUpdater_send_toActorId
00772560	CommandUpdater_send_toActorName
00772650	CommandUpdater_send_broadcast
00773d90	CommandUpdater_invokeLua_onUpdateWork_clipObj
00773f10	CommandUpdater_invokeLua_onUpdateWork_complex
00776340	UserDataReceiver_vtable_noop_inherited
00776690	CommandUpdate_constructor_init
00776760	PacketBuilder_opcode_0x12d_200B_tagged
007838c0	UpdateQueue_pushEntry
00789b90	ActionResult_pushToActorList_88Bstride
00789cd0	BehaviorLogger_SourceDisplayNameResolverListener_ctor
0078b850	WaitResumeChecker_ctor
0078bbb0	typed_invokeLua_onInit_helper
0078bed0	wait_extractAndPushChecker
0078c2a0	defineClass_extractAndRegister
00893380	ServerNotify_createResumeChecker_atCmdSubsystem_0xf8
00894090	Lua_send6argRpc_via_opcode_0x12e
00896510	Command_queued_enqueueRecord_to_list_0x14
00897310	Command_immediate_sendVia_0x12d_checksummed_v1v2
00897660	Player_invokeLua_onPreEvent
008977b0	Player_invokeLua_onPostEvent
00897a20	Player_invokeLua_onCommandRejected
00897b40	Player_invokeLua_onPreCommand
00897c60	Player_invokeLua_onPostCommand
00897d90	Player_invokeLua_onCommandCancel_v1
00897ee0	Player_invokeLua_onCommandCancel_v2
00898030	Player_invokeLua_onEventCancel_v1
008981a0	Player_invokeLua_onEventCancel_v2
00898310	Player_invokeLua_onEventCancel_v3
00898480	Command_dispatch_immediateVsQueued_byVtable0x1c
00898760	Player_invokeLua_onEventCancel_v4
008988d0	Player_invokeLua_onEventCancel_v5
00898a40	Player_invokeLua_onEventCancel_v6
00898bb0	Player_invokeLua_onEventCancel_v7
00898d20	Player_invokeLua_onTouch_proximityBegin
00898eb0	Player_invokeLua_onTouch_proximityEnd
0089c460	AchievementPointReceiver_construct
0089c510	AchievementPointReceiver_applyToMyPlayer
0089c540	AchievementTitleReceiver_construct
0089c5f0	AchievementTitleReceiver_applyToPlayerBase_field_0xe8
0089c620	AchievementIdReceiver_construct
0089c6d0	AchievementIdReceiver_applyToMyPlayer
0089c700	AchievementAchievedCountReceiver_construct
0089c7c0	AchievementAchievedCountReceiver_applyToMyPlayer
0089c8b0	Router_dispatch_to_MyPlayer_handleLimitAddictedNotice
0089ca80	Router_dispatch_to_CharaBase_onChangeSystemFlag
0089cab0	JobChangeReceiver_construct
0089cb60	JobChangeReceiver_applyToPlayerBase
0089cb90	EntrustItemReceiver_applyToMyPlayer
0089cc90	GrandCompanyReceiver_construct
0089cd60	GrandCompanyReceiver_applyToPlayerBase_polymorphic
0089cf60	HateStatusReceiver_construct
0089d030	HateStatusReceiver_applyToNpcBase
0089d170	ChatBuilder_singleTarget_writeCommandTag_B
0089d220	ChatBuilder_singleTarget_writeCommandTag_A
0089d340	ChatBuilder_singleTarget_writeCommandTag_D
0089d770	SetEventStatusReceiver_construct
0089d860	SetEventStatusReceiver_applyToNpcBase
0089e320	ChatBuilder_tell_readRecipientName
0089e3f0	ChatBuilder_tell_thunk
0089f110	EntrustItemReceiver_construct_32byte_struct
0089fbf0	UserDataReceiver_dispatchByTargetMode
008a0190	UserDataReceiver_invokeLua_onReceiveDataPacket
008a0370	UserDataReceiver_invokeLua_onReceiveTimingPacket
008a1510	UserDataReceiver_extractActorId
008a15b0	UserDataReceiver_extractActorName
008a2b70	UserDataReceiver_vtable_slot23_resolveActorIntoField0x18
008a2d50	UserDataReceiver_vtable_slot22_appendPayloadToContainer
008a2e70	ChocoboReceiver_construct
008a2f30	ChocoboReceiver_applyToMyPlayer
008a2f70	ChocoboGradeReceiver_construct
008a3020	ChocoboGradeReceiver_applyToMyPlayer
008a3050	GoobbueReceiver_construct
008a3100	GoobbueReceiver_applyToMyPlayer
008a3130	VehicleGradeReceiver_construct
008a31e0	VehicleGradeReceiver_applyToMyPlayer
008a3990	Router_dispatch_to_CutScene_onInitializationClip
008a39e0	Router_dispatch_to_CutScene_onShowUIClip
008a3a40	Router_dispatch_to_CutScene_onHideUIClip
008a3aa0	Router_dispatch_to_CutScene_method_FUN_006fc3a0
008a3b00	Router_dispatch_to_CutScene_onHideWidgetClip
008a3b50	Router_dispatch_to_CutScene_onOpenUIClip
008a3ea0	Router_dispatch_to_DesktopWidget_onTargetChanged
008a3ed0	Router_dispatch_to_DesktopWidget_onTargetDecided
008a4410	Router_dispatch_to_DesktopWidget_onPreWarp
008a44d0	Router_dispatch_to_DesktopWidget_onPostWarp
008a45d0	System_invokeLua_onPreCutSceneCancel
008a4720	System_invokeLua_onPostCutSceneCancel
008a4880	DebugConsole_invokeLua_onDebugInput
00cc7050	LuaEngine_registerClassDerivedFrom
00cc71f0	LuaEngine_finalizeClassDef
00cc7200	ClassRegistry_lookupAndCheckCategoryTag_wrapper
00cc7210	IsInstanceOf_dynamic_dispatch_luaClassChainWrapper
00cc7b90	Actor_readBindingUInt
00cc7be0	Actor_readBindingBool
00cc7de0	Actor_readBindingFloat
00cc98a0	Widget_perFrameTick_externalEntryPoint
00cceac0	Lua_invokeFunctor_withTimeProgress
00cd25c0	Lua_callMethod_storedCtx
00cd2630	CoroutineContext_findPendingCallback
00cd27d0	CoroutineContext_isTrackingEnabled
00cd2860	CoroutineContext_pushResumeChecker
00cd28c0	CoroutineContext_pushEndCallback
00cd6e60	DispatcherC_tickStackBased
00cd7a30	LuaClass_resolveTypeChainStart
00cd7fe0	LpbLoader_getLpbVersion
00cd8100	LuaClass_walkParentChain_checkClassId
00cd8870	ClassRegistry_lookupOrErrorPending
00cd8990	LuaGameEngine_installBootBindings
00cd91e0	ClassRegistry_addDerivedClass
00cd9c10	ClassRegistry_clearPendingFlag
00cd9c60	ClassRegistry_lookupAndCheckCategoryTag
00cda330	Widget_perFrameUpdate_ticksAll3Dispatchers
00ce16c0	ClassEntry_isInNoncreatableCategorySet_3tags
00ce1840	DispatcherA_retryEventViaCachedFunctor
00ce44d0	BindingStorage_writeField_lowLevel_byBindingId
00ce4550	BindingStorage_readField_lowLevel
00ce45d0	BindingStorage_writeField_lowLevel
00ce5290	BindingStorage_readField_dispatchByType
00cede40	LuaClass_resolveOrRegisterClassByName
00cef510	DispatcherA_tickWithTimeoutBudget
00cf1060	Lua_createCallableFunctor_cached
00cf4680	luaL_loadbuffer
00cf5ec0	UIEventDispatcher_fireOneEvent_5argMax
00cf6080	UIEventDispatcher_processQueuedEvents_timed
00d08180	lua_luaGameEngineLoad
00d082a0	lua_lge_time_or_clock
00d083b0	lua_lge_setLoopInterval
00d08a10	lua_luaGameEngineRequire
00d08e50	lua_luaGameEngineRequireEnd
00d08ed0	lua_lge_assert
00d090c0	lua_lge_error
00d093b0	lua_lge_pcall
00d094a0	lua_lge_getWork
00d09810	lua_lge_syncById
00d098d0	lua_lge_getIndividualIndex
00d099b0	lua_metatable_newindex_handler
00d0bb10	LpbLoader_ResumeChecker_ctor
00d0ca50	LpbLoader_loadIntoLuaState
00d0cfb0	LpbLoader_resolveAndFetch
00d0d470	LpbLoader_popRingSlotAndLoad
00d11c70	BitPacked_readByte_type1
00d11cf0	BitPacked_readShort_type2
00d11d30	BitPacked_writeByte_type1
00d11db0	BitPacked_readUint24_type3
00d11e50	BitPacked_readUint32_type4
00d11e90	BitPacked_writeShort_type2
00d11fd0	BitPacked_writeUint24_type3
00d12080	BitPacked_writeUint32_type4
00d3a380	Crc32_standard_sliceBy8_poly_0xEDB88320
00d3aae0	SqexCrypt_Crc32_finalize_returnValue
00d3ab60	SqexCrypt_Crc32_init_computeOverBuffer
00d430d0	Socket_send_thin
00d43140	Socket_recv_thin
00d44610	Socket_send_vtable_inner
00d44690	Socket_recv_vtable_inner
00d447e0	Socket_RecvTCP_worker
00d44950	Socket_RecvFrom_worker
00d44ae0	Socket_StateMachineTick
00d4dc60	NetIo_PollStep_outer
00d511c0	NetIo_HandleReadySockets
00d514f0	NetIo_PollStep
00d57530	NetIo_SelectWait
00da2be0	IpcPacket_buildHeader
00da45b0	LobbyClient_ensureConnection
00da4790	InitOperationStep_kick
00da4950	LobbyClient_setupAndConnect
00da4b80	LobbyClient_decode_LobbyLoginPayload
00da4c20	LobbyClient_decode_CharacterList
00da4d80	LobbyClient_decode_RetainerList
00da4f30	LobbyClient_CloseLobbyConnection
00da4f80	LobbyClient_onSuccessfulLobbyLogin
00da5030	LobbyClient_onSuccessfulServiceLogin
00da5110	LobbyClient_onSuccessfulGameLogin
00da5190	LobbyClient_onSuccessfulCharaMake
00da5300	LobbyClient_gcCompletedOpsAndCheckActive
00da5410	LobbyLoginOperationStep_onLobbyLogin
00da54d0	LobbyClient_queueLoginOperation
00da55c0	LobbyClient_doStartLobbyLogin
00da6320	LobbyClient_decode_WorldList
00da64b0	LobbyClient_decode_GameLoginPayload
00da7040	LobbyLoginOperationStep_kick
00da76b0	LobbyClient_decode_ServiceLoginPayload
00da79d0	LobbyClient_decode_CharaMakePayload
00da84c0	LobbyLoginOperation_ctor
00da88e0	InitOperationStep_ctor
00da89f0	LobbyLoginOperationStep_ctor
00da9880	LobbyLoginOperation_buildAndSendPacket
00da9ec0	LobbyClient_dispatchInbound_LobbyLogin
00daa070	LobbyLoginOperation_sendAck32
00daa190	LobbyLoginOperation_sendCharaMakeOrSubOp
00daa740	LobbyLoginOperation_sendAck40
00daa950	LobbyClient_dispatchInbound_GameLogin
00daa9f0	LobbyClient_dispatchInbound_ServiceLogin
00daac30	LobbyClient_dispatchInbound_CharaMake
00dab290	LobbyConnection_ctor
00dad750	LobbyRequestCallback_ctor
00dad770	LobbyOperation_ctor
00dae010	ZoneClient_forwardOutbound
00dae1e0	ZoneClient_sendInitialHandshake
00dae3b0	ZoneClient_pumpConnectionState
00daf850	ZoneIpcPacket_acquireSendSlot
00db06a0	ZoneIpcPacket_finalizeAndSend
00db35e0	PacketBufferBase_parseSegment
00db3880	PacketBufferBase_parseChunk
00db3e30	ChatClient_dispatchOutbound_generic
00db4020	ChatClient_sendInitialHandshake
00db4300	PacketBufferTmpl_debugRecvLog
00db5010	ChatIpcPacket_acquireSendSlot
00db5300	ProtoChannel_dispatchPacketById
00db5a90	ChatIpcPacket_finalizeAndSend
00db6140	PacketBufferBase_tryGetNextPacket
00db6590	PacketBufferTmpl_processOnePacket
00db67e0	PacketBufferTmpl_processAllPackets
00db6d20	PacketBufferTmpl_tryGetNextTyped
00dc1490	ZoneIpcPacket_bodyPtr
00dc1cf0	ZoneIpcPacket_buildHeader
00e40820	ChatIpcPacket_bodyPtr
00e40a60	ChatIpcPacket_buildHeader
